Country,Lig,home_team,away_team,home_score,away_score,season_year,Date_day,Date_hour,first_half,second_half,home_team_goals,away_team_goals,home_team_substitutions,away_team_substitutions,home_team_yellow_card,away_team_yellow_card,home_team_red_card,away_team_red_card,referee,venue,capacity,attendance
Turkey,super-lig,Eskisehirspor,Antalyaspor,3,1,2012/2013,19.05,19:00,2 - 0,1 - 1,"[""7' 1 - 0 Cek O."", ""20' 2 - 0 Cek O."", ""62' 3 - 0 Kamara D.""]","[""82' 3 - 1 Sismanoglu O.""]","[""54' Nuhiu A. Potuk A."", ""65' Senturk E. Causic G."", ""77' Kara A. Zengin E.""]","[""46' Yildirim Z. Bassan E.""]","[""90' Coskun S.""]",[],[],[],,,,
Turkey,super-lig,Kayserispor,Besiktas,2,0,2012/2013,19.05,19:00,0 - 0,2 - 0,"[""70' 1 - 0 Arica Y."", ""86' 2 - 0 Bobo""]",[],"[""64' Arica Y. Gungor E."", ""73' Biseswar D. Cleyton"", ""88' Yokuslu O. Simic M.""]","[""68' Dentinho Kas E."", ""79' Almeida H. Pektemek M."", ""84' Demirci M. Sahan O.""]","[""31' Simic M."", ""62' Cleyton"", ""90' Yokuslu O.""]",[],[],[],,,,
Turkey,super-lig,Genclerbirligi,Bursaspor,2,2,2012/2013,19.05,16:00,2 - 1,0 - 1,"[""16' 1 - 1 Ozgur I."", ""24' 2 - 1 Zec E.""]","[""7' 0 - 1 Kiraz F."", ""76' 2 - 2 Yildirim M.""]","[""45' Ehiosun E. Azofeifa R.""]","[""41' Soyalp F. Kilic D.""]","[""46' Petrovic R."", ""75' Ozgur I.""]",[],[],[],,,,
Turkey,super-lig,Elazigspor,Sivasspor,0,0,2012/2013,19.05,13:30,0 - 0,0 - 0,[],[],"[""46' Kalemci A. Sesar I."", ""67' Sarp M. Kalemci A."", ""78' Alkasi A. Kaloglu S.""]","[""54' Kocak A. Piech A."", ""78' Ozkara C. Arslan H."", ""82' Nas M. Kilic E.""]",[],[],[],[],,,,
Turkey,super-lig,Galatasaray,Trabzonspor,2,0,2012/2013,18.05,19:05,1 - 0,1 - 0,"[""34' 1 - 0 Riera A."", ""52' 2 - 0 Yilmaz B.""]",[],"[""40' Amrabat N. Felipe Melo"", ""81' Elmander J. Drogba D."", ""82' Bulut U. Altintop H.""]","[""46' Cech M. Kacar G."", ""46' Adin O. Mierzejewski A."", ""64' Aydogdu S. Sapara M.""]",[],[],[],[],,,,
Turkey,super-lig,Basaksehir,Kasimpasa,1,2,2012/2013,18.05,19:00,1 - 0,0 - 2,"[""2' 1 - 0 Kose T.""]","[""55' 1 - 1 Djalma"", ""89' 1 - 2 Colak I. H.""]","[""46' Korkmaz Z. Pekturk T."", ""59' Visca E. Geraldes"", ""82' Sokullu O. C. Eksioglu E.""]","[""67' Ibricic S. Hurmaci O."", ""69' Colak I. H. Buyuk A."", ""78' Kala H. Uche K.""]","[""50' Zenke S.""]",[],[],[],,,,
Turkey,super-lig,Kardemir Karabuk,Fenerbahce,3,2,2012/2013,18.05,19:00,0 - 1,3 - 1,"[""47' LuaLua L."", ""50' Ozek A."", ""77' LuaLua L.""]","[""33' Topuz M."", ""75' Webo P.""]","[""46' Soyler H. Mabiala L."", ""47' Parlak I. Shelton L."", ""68' Ozmert H. Unal G.""]","[""71' Stoch M. Topal M."", ""82' Erkin C. Baroni C."", ""88' Senturk S. Sow M.""]","[""12' Incedemir Y."", ""21' Ozgenc E."", ""23' Seric A."", ""51' Demircan A."", ""84' Soyler H."", ""88' Tomic V.""]",[],[],[],,,,
Turkey,super-lig,Orduspor,Akhisarspor,0,2,2012/2013,18.05,19:00,0 - 1,0 - 1,[],"[""39' 0 - 1 Bruno Mezenga"", ""50' 0 - 2 Bruno Mezenga""]","[""46' Torun M. Cokmus F."", ""74' Pekdemir E. Stancu B."", ""85' Demiregen B. Barral D.""]","[""62' Bulut K. Bruno Mezenga"", ""62' Aladag E. Vardar S."", ""83' Asan M. Yuce M.""]","[""68' Oztorun F.""]",[],[],[],,,,
Turkey,super-lig,Mersin,Gaziantepspor,1,2,2012/2013,17.05,20:00,0 - 2,1 - 0,"[""72' 1 - 2 Ben Yahia W.""]","[""27' 0 - 1 Sahin T."", ""30' 0 - 2 Tosun C.""]","[""46' Kalender B. C. Mert Nobre"", ""68' Ozokwo N. Culio E.""]","[""61' Yasar I. H. Delibalta O."", ""84' Keser I. H. Ozbayraktar S.""]","[""44' Culio E.""]",[],[],[],,,,
Turkey,super-lig,Bursaspor,Eskisehirspor,0,0,2012/2013,13.05,20:05,0 - 0,0 - 0,[],[],"[""70' Sanli T. Kiraz F."", ""71' Basser M. Pinto S."", ""83' Erdogan O. Ozbayrakli S.""]","[""58' Demirhan S. Dede"", ""82' Cek O. Ates N."", ""86' Nuhiu A. Potuk A.""]","[""28' Pinto S."", ""65' Ozbayrakli S."", ""90' Gokcek Vederson"", ""90+3' Ferdinand A.""]",[],[],[],,,,
Turkey,super-lig,Akhisarspor,Mersin,1,0,2012/2013,13.05,20:00,0 - 0,1 - 0,"[""88' 1 - 0 Gekas T.""]",[],"[""19' Vardar S. Cebe A."", ""57' Aladag E. Atan C."", ""73' Bulut K. Bruno Mezenga""]","[""46' Ben Yahia W. Tozlu E."", ""84' Ceylan M. Kayhan T.""]","[""59' Bruno Mezenga"", ""75' Yuce M."", ""90+2' Vural G."", ""90+3' Atan C."", ""90+3' Kisa B.""]",[],[],[],,,,
Turkey,super-lig,Sivasspor,Kardemir Karabuk,2,1,2012/2013,13.05,20:00,0 - 0,2 - 1,"[""58' 1 - 0 Ucar U. (Own goal)"", ""79' 2 - 1 Chahechouhe A.""]","[""73' 1 - 1 Unal G.""]","[""77' Nas M. Kilic E."", ""84' Pedriel R. Chahechouhe A."", ""89' Yerlikaya H. Grosicki K.""]","[""60' Varol G. Shelton L."", ""66' Unal G. Ucar U."", ""81' Hamroun J. Ozek A.""]","[""86' Arslan H.""]",[],[],[],,,,
Turkey,super-lig,Trabzonspor,Basaksehir,4,3,2012/2013,13.05,20:00,3 - 1,1 - 2,"[""19' 1 - 0 Adin O."", ""23' 2 - 0 Sen V."", ""37' 3 - 1 Altintop H."", ""84' 4 - 2 Oztekin Y.""]","[""34' 2 - 1 Madureira D."", ""57' 3 - 2 Zayatte K."", ""90' 4 - 3 Zenke S.""]","[""60' Sapara M. Mierzejewski A."", ""69' Oztekin Y. Sen V."", ""86' Zokora D. Aydogdu S.""]","[""26' Madureira D. Sokullu O. C."", ""46' Zenke S. Inanc E."", ""77' Visca E. Geraldes""]","[""69' Sen V.""]",[],[],[],,,,
Turkey,super-lig,Fenerbahce,Galatasaray,2,1,2012/2013,12.05,20:00,2 - 1,0 - 0,"[""33' 1 - 1 Webo P."", ""36' 2 - 1 Webo P.""]","[""25' 0 - 1 Yilmaz B. (Penalty)""]","[""63' Ucan S. Belozoglu E."", ""67' Erkin C. Meireles R."", ""81' Topuz M. Webo P.""]","[""46' Amrabat N. Elmander J."", ""75' Sarioglu S. Altintop H."", ""81' Yilmaz A. Eboue E.""]","[""24' Gonul G."", ""84' Erkin C.""]","[""90' Sarioglu S.""]","[""90' Demirel V.""]","[""90' Sarioglu S.""]",,,,
Turkey,super-lig,Antalyaspor,Orduspor,1,0,2012/2013,11.05,20:00,0 - 0,1 - 0,"[""46' 1 - 0 Sismanoglu O.""]",[],"[""13' Duruer M. Janda P."", ""46' Diarra L. Aissati I."", ""69' Bassan E. Promise I.""]","[""46' Torun M. Barral D."", ""83' Roversio Ayila Y."", ""88' Kocatepe Y. Tasdemir A.""]","[""41' Aissati I."", ""90' Sismanoglu O.""]","[""8' Sahin S.""]",[],"[""8' Sahin S.""]",,,,
Turkey,super-lig,Bursaspor,Konyaspor,0,0,2014/2015,30.05,19:00,0 - 0,0 - 0,[],[],"[""46' Ersoy E. Traore B."", ""71' Belluschi F. Holmen S."", ""86' Behich A. Bakambu C.""]","[""60' Kabze H. Ozer K."", ""60' Djalma Sahiner O."", ""85' Bora V. Fuchs B.""]","[""42' Aziz S.""]","[""43' Rangelov D.""]","[""43' Aziz S.""]","[""43' Rangelov D.""]",Cakir C.  (Tur),Bursa Atatürk Stadyumu  (Bursa),25 661,
Turkey,super-lig,Mersin,Basaksehir,2,2,2014/2015,30.05,19:00,0 - 0,2 - 2,"[""50' 1 - 0 Welliton"", ""55' 2 - 0 Delibalta O. (Welliton)""]","[""80' 2 - 1 Madureira D."", ""87' 2 - 2 Visca E.""]","[""75' Tita Futacs M."", ""84' Tas M. Welliton"", ""90+1' Varol G. Delibalta O.""]","[""58' Senturk S. Perbet J."", ""58' Madureira D. Erdem A."", ""73' Sahin E. C. Agcay S.""]","[""29' Futacs M."", ""38' Ceylan M."", ""60' Balci S.""]",[],"[""80' Ceylan M.""]",[],Kalkavan M.  (Tur),,,
Turkey,super-lig,Sivasspor,Trabzonspor,1,1,2014/2015,30.05,19:00,1 - 1,0 - 0,"[""9' 1 - 0 Karadeniz B. (Eser B.)""]","[""23' 1 - 1 Hurmaci O. (Medjani C.)""]","[""29' Utaka J. C. Karadeniz B."", ""66' Yilmazer M. Taouil M."", ""84' da Costa M. Kurt U.""]","[""58' Zengin E. Aydogdu S."", ""75' Belkalem E. Dursun S."", ""90+3' Yavru Z. Ekici M.""]","[""67' Kocak A."", ""83' Eser B.""]",[],[],[],Ozkahya H.  (Tur),Yeni 4 Eylül Stadyumu  (Sivas),14 998,
Turkey,super-lig,Fenerbahce,Kasimpasa,2,0,2014/2015,30.05,16:00,0 - 0,2 - 0,"[""72' 1 - 0 Belozoglu E."", ""81' 2 - 0 Potuk A. (Sow M.)""]",[],"[""90' Kesimal S. Kaldirim H. A."", ""90' Zeybek U. Belozoglu E."", ""90+2' Koca C. Kuyt D.""]","[""70' Aktas K. Castro"", ""84' Ayaz I. Ozturk A."", ""86' Kurtuldu B. Malki S.""]",[],[],[],[],Aydinus F.  (Tur),Ataturk Stadium  (Istanbul),74 753,
Turkey,super-lig,Rizespor,Galatasaray,1,1,2014/2015,30.05,13:00,0 - 0,1 - 1,"[""52' 1 - 0 Albayrak E.""]","[""86' 1 - 1 Bulut U. (Sarioglu S.)""]","[""72' Kose T. Kadah D."", ""76' Korkmaz U. Karakas K."", ""88' Holosko F. Ovacikli O.""]","[""46' Kurtulus Y. Dzemaili B."", ""62' Gumus S. Yilmaz A."", ""76' Bulut U. Bruma""]","[""90+2' Kaya S.""]","[""81' Gunter K.""]",[],"[""81' Gunter K.""]",Abitoglu K.  (Tur),Çaykur Didi Stadyumu  (Rize),15 558,
Turkey,super-lig,Balikesirspor,Gaziantepspor,1,1,2014/2015,29.05,20:00,1 - 1,0 - 0,"[""37' 1 - 1 Glumac T. (Emir B.)""]","[""27' 0 - 1 Chico (Chibuike J.)""]","[""46' Yildirim S. Promise I."", ""72' Depe I. Celik M."", ""89' Calik B. Zec E.""]","[""55' Yilmaz S. Ayaz F."", ""82' Talsik M. Turk O."", ""88' Sevim B. Karcemarskas Z.""]","[""25' Kulusic A."", ""66' Ceviker A."", ""78' Yildirim S."", ""84' Ataseven E."", ""90+3' Cevahir B.""]",[],[],[],Bayarslan V.  (Tur),,,
Turkey,super-lig,Besiktas,Genclerbirligi,2,1,2014/2015,29.05,20:00,1 - 0,1 - 1,"[""42' 1 - 0 Tosun C. (Ozyakup O.)"", ""83' 2 - 0 Ozyakup O. (Sahan O.)""]","[""90' 2 - 1 Bulbul C. (Kahveci I. C.)""]","[""66' Boral U. Pektemek M."", ""77' Kurtulus S. Frei K."", ""87' Milosevic A. Sivok T.""]","[""29' Bulbul C. Gosso J."", ""53' Gorgulu F. Calik A."", ""77' Tosun B. Tomic N.""]","[""71' Nukan A.""]",[],[],[],Yildirim Y.  (Tur),Recep Tayyip Erdoğan Stadyumu  (Istanbul),14 234,
Turkey,super-lig,Eskisehirspor,Akhisarspor,1,3,2014/2015,29.05,20:00,0 - 1,1 - 2,"[""89' 1 - 3 Sismanoglu O. (Ozturk S.)""]","[""10' 0 - 1 Custodio (Zokora D.)"", ""68' 0 - 2 Bruno Mezenga (Vaz Te R.)"", ""77' 0 - 3 Akyuz M. (Zokora D.)""]","[""46' Gural E. Guler S."", ""46' Vural A. Oren S."", ""76' Guleryuz A. Senturk E.""]","[""64' Luan Custodio"", ""79' Arslan K. Cebe A."", ""81' Gokoglan Y. Akyuz M.""]","[""25' Oren S."", ""73' Teber E."", ""83' Ozturk S.""]","[""83' Konuk I.""]",[],"[""83' Konuk I.""]",Ulusoy A.  (Tur),Eskişehir Atatürk Stadi  (Eskişehir),13 520,
Turkey,super-lig,Kayseri Erciyesspor,Kardemir Karabuk,4,3,2014/2015,29.05,17:00,1 - 2,3 - 1,"[""19' 1 - 0 Secme M. (Gulle O.)"", ""49' 2 - 2 Edinho"", ""80' 3 - 3 Gulle O."", ""82' 4 - 3 Edinho""]","[""21' 1 - 1 Ozek A. (Kayhan T.)"", ""40' 1 - 2 Ozgenc E. (Penalty)"", ""71' 2 - 3 Ozgenc E. (Penalty)""]","[""46' Ozen M. Alkilic C."", ""46' Ozturk E. Zoua J."", ""90+3' Demirezen S. Secme M.""]","[""54' Ozkan E. Kayhan T."", ""85' Aydin I. Akpala J."", ""86' Kocakli A. Akgun A.""]","[""28' Boye J."", ""59' Ozturk E."", ""81' Sylla Y.""]","[""73' Sow S.""]",[],"[""73' Sow S.""]",Birincioglu B.  (Tur),Kadir Has Stadium  (Kayseri),32 864,
Turkey,super-lig,Akhisarspor,Bursaspor,0,1,2014/2015,25.05,20:00,0 - 0,0 - 1,[],"[""60' 0 - 1 Josue (Penalty)""]","[""46' Zokora D. Custodio"", ""46' Vaz Te R. LuaLua L."", ""73' Akyuz M. Vural G.""]","[""67' Yilmaz B. Josue"", ""86' Tasdemir E. Bakambu C."", ""90' Unal E. Sen V.""]","[""39' Custodio"", ""60' Cebe A."", ""65' Luan""]",[],[],[],Kalkavan M.  (Tur),,,
Turkey,super-lig,Basaksehir,"Fenerbahce
4",2,2,2014/2015,25.05,20:00,0 - 0,2 - 2,"[""53' 1 - 0 Batdal M. (Ucar U.)"", ""62' 2 - 0 Batdal M.""]","[""81' 2 - 1 Diego (Meireles R.)"", ""88' 2 - 2 Webo P. (Erkin C.)""]","[""73' Sahin E. C. Madureira D."", ""84' Agcay S. Mossoro M.""]","[""46' Meireles R. Belozoglu E."", ""61' Webo P. Kuyt D.""]","[""41' Tekdemir M."", ""83' Mossoro M.""]","[""83' Topuz M."", ""90+2' Alves B."", ""90+2' Erkin C."", ""90+6' Webo P.""]",[],"[""83' Topuz M."", ""90+2' Alves B."", ""90+2' Erkin C."", ""90+6' Webo P.""]",Palabiyik A.  (Tur),,,
Turkey,super-lig,Galatasaray,Besiktas,2,0,2014/2015,24.05,20:00,1 - 0,1 - 0,"[""11' 1 - 0 Oztekin Y."", ""80' 2 - 0 Sneijder W. (Inan S.)""]",[],"[""65' Bulut U. Yilmaz B."", ""90+1' Adin O. Altintop H."", ""90+2' Colak E. Sneijder W.""]","[""46' Ozyakup O. Kurtulus S."", ""76' Pektemek M. Arslan T."", ""82' Tosun C. Ba D.""]","[""50' Adin O. (Not on pitch, Unsportsmanlike conduct)"", ""59' Felipe Melo (Tripping)"", ""78' Oztekin Y. (Tripping)""]",[],[],[],Gocek H.  (Tur),Rams Park  (Istanbul),53 798,
Turkey,super-lig,Gaziantepspor,Eskisehirspor,3,2,2014/2015,24.05,14:00,2 - 0,1 - 2,"[""7' 1 - 0 Camara D. (Demir M.)"", ""9' 2 - 0 Chibuike J. (Turk O.)"", ""59' 3 - 0 Camara D. (Demir M.)""]","[""63' 3 - 1 Ozturk S. (Penalty)"", ""73' 3 - 2 Senturk E.""]","[""57' Durak M. Leal L."", ""82' Suzen G. Chibuike J."", ""89' Nefiz E. Demir M.""]","[""64' Senturk E. Ozturk S."", ""64' Yildirim M. Gucer H."", ""80' Teber E. Dabanli B.""]","[""41' Kayali A."", ""45+2' Turk O."", ""87' Karcemarskas Z."", ""88' Ildiz M.""]",[],"[""51' Kayali A.""]",[],Tokat S.  (Tur),Gaziantep Kamil Ocak Stadium (Inactive)  (Gaziantep),16 981,
Turkey,super-lig,Kardemir Karabuk,Sivasspor,2,1,2014/2015,24.05,14:00,0 - 1,2 - 0,"[""72' 1 - 1 Ozek A. (Kas E.)"", ""76' 2 - 1 Sow S. (Ozgenc E.)""]","[""28' 0 - 1 Yilmazer M. (Chahechouhe A.)""]","[""61' Candan F. Akpala J."", ""61' Akgun A. Akca M."", ""74' Cenik O. Ozmert H.""]","[""68' Karadeniz B. Eser B."", ""81' Kocak A. Utaka J. C."", ""81' Akin I. Yilmazer M.""]","[""64' Sow S."", ""65' Cagiran M.""]",[],[],[],Cinar S.  (Tur),,,
Turkey,super-lig,Trabzonspor,Balikesirspor,3,2,2014/2015,23.05,20:00,1 - 1,2 - 1,"[""34' 1 - 1 Medjani C."", ""49' 2 - 1 Cardozo O. (Yavru Z.)"", ""85' 3 - 2 Cardozo O. (Erdogan Y.)""]","[""27' 0 - 1 Ceviker A. (Celik M.)"", ""68' 2 - 2 Ataseven E. (Ceviker A.)""]","[""77' Atik F. Yavru Z."", ""87' Aydogdu S. Waris M."", ""89' Belkalem E. Ekici M.""]","[""66' Depe I. Promise I."", ""75' Calik B. Celik M."", ""80' Ozturk A. Zec E.""]","[""61' Medjani C."", ""86' Yavru Z. (Not on pitch)"", ""86' Erdogan Y."", ""90+2' Aydogdu S.""]",[],[],[],Yildirim Y.  (Tur),Hüseyin Avni Aker Stadium  (Trabzon),24 169,
Turkey,super-lig,Konyaspor,Rizespor,1,1,2014/2015,23.05,17:00,0 - 1,1 - 0,"[""90+2' 1 - 1 Rangelov D.""]","[""20' 0 - 1 Kweuke L.""]","[""70' Aydin R. Ozer K."", ""70' Rangelov D. Djalma"", ""82' Bora V. Camdali A.""]","[""59' Holosko F. Karakas K."", ""76' Oboabona G. Sylvestre L."", ""84' Lafferty K. Kweuke L.""]",[],[],[],[],Bitnel D.  (Tur),Konya Atatürk Stadyumu  (Konya),22 559,
Turkey,super-lig,Kasimpasa,Kayseri Erciyesspor,3,3,2014/2015,23.05,14:00,1 - 1,2 - 2,"[""14' 1 - 0 Torun T."", ""76' 2 - 3 Donk R. (Derdiyok E.)"", ""85' 3 - 3 Malki S.""]","[""44' 1 - 1 Zoua J. (Caglayan O.)"", ""46' 1 - 2 Edinho (Yildirim M.)"", ""58' 1 - 3 Caglayan O.""]","[""62' Malki S. Castro"", ""62' Ayaz I. Sari V."", ""71' Kurtuldu B. Babel R.""]","[""78' Demirezen S. Yildirim M."", ""82' Memis B. Zoua J."", ""90' Vleminckx B. Edinho""]",[],[],[],[],Cakir C.  (Tur),Recep Tayyip Erdoğan Stadyumu  (Istanbul),14 234,
Turkey,super-lig,Genclerbirligi,Mersin,1,2,2014/2015,22.05,20:00,1 - 0,0 - 2,"[""37' 1 - 0 Kahveci I. C. (Landel G.)""]","[""60' 1 - 1 Welliton (Khalili A.)"", ""79' 1 - 2 Nakoulma P. (Khalili A.)""]","[""66' Hleb A. Tomic N."", ""66' Celik M. Kahveci I. C."", ""74' El Kabir M. Landel G.""]","[""46' Tita Guven A."", ""46' Varol G. Ceylan M."", ""80' Ozarslan E. Tas M.""]","[""45' Petrovic R.""]",[],[],[],Karabas O.  (Tur),Ankara 19 Mayis Stadyumu  (Ankara),19 219,
Turkey,super-lig,Besiktas,Konyaspor,0,1,2014/2015,18.05,20:00,0 - 0,0 - 1,[],"[""80' 0 - 1 Torje G.""]","[""46' Frei K. Sahan O."", ""60' Tosun C. Ba D."", ""73' Hutchinson A. Arslan T.""]","[""64' Kabze H. Rangelov D."", ""78' Mahlangu M. Findikli V."", ""88' Kokalovic E. Djalma""]","[""60' Opare D.""]",[],[],[],Abitoglu K.  (Tur),Recep Tayyip Erdoğan Stadyumu  (Istanbul),14 234,
Turkey,super-lig,Rizespor,Akhisarspor,3,1,2014/2015,18.05,20:00,1 - 0,2 - 1,"[""45' 1 - 0 Kweuke L. (Obraniak L.)"", ""50' 2 - 0 Kadah D. (Albayrak E.)"", ""82' 3 - 1 Kaya S. (Sylvestre L.)""]","[""55' 2 - 1 Keles K. (LuaLua L.)""]","[""58' Sylvestre L. Lafferty K."", ""64' Kaya S. Altinay K."", ""90+3' Holosko F. Kacar G.""]","[""46' Luan Vardar S."", ""74' Vaz Te R. Bruno Mezenga"", ""89' Cebe A. Unlu T.""]","[""16' Viera O."", ""39' Kacar G.""]",[],[],[],Yankaya O.  (Tur),Çaykur Didi Stadyumu  (Rize),15 558,
Turkey,super-lig,Mersin,Fenerbahce,0,1,2014/2015,17.05,20:00,0 - 0,0 - 1,[],"[""90+2' 0 - 1 Belozoglu E. (Kuyt D.)""]","[""52' Sahin N. Delibalta O."", ""62' Varol G. Pedriel R."", ""78' Futacs M. Welliton""]","[""63' Webo P. Meireles R."", ""63' Belozoglu E. Kaldirim H. A."", ""88' Sahin S. Diego""]","[""55' Gokcek Vederson"", ""64' Balci S.""]",[],"[""50' Yildirim M.""]",[],Cakir C.  (Tur),,,
Turkey,super-lig,Eskisehirspor,Trabzonspor,2,0,2014/2015,17.05,16:00,2 - 0,0 - 0,"[""15' 1 - 0 Sismanoglu O. (Sissoko I.)"", ""33' 2 - 0 Funes Mori R. (Lawal R.)""]",[],"[""35' Parlak B. Angelo D."", ""77' Gucer H. Ozturk S."", ""83' Dabanli B. Corekci K.""]","[""46' Atik F. Yilmaz D."", ""63' Dogan I. Erdogan Y."", ""77' Aydogdu S. Zengin E.""]","[""10' Sismanoglu O."", ""11' Funes Mori R."", ""72' Ozturk S."", ""90+3' Yumlu M.""]",[],[],[],Palabiyik A.  (Tur),Eskişehir Atatürk Stadi  (Eskişehir),13 520,
Turkey,super-lig,Bursaspor,Gaziantepspor,2,0,2014/2015,17.05,15:00,1 - 0,1 - 0,"[""7' 1 - 0 Bakambu C. (Josue)"", ""58' 2 - 0 Josue""]",[],"[""65' Behich A. Sen V."", ""73' Traore B. Josue"", ""81' Unal E. Tasdemir E.""]","[""69' Leal L. Chibuike J."", ""84' Suzen G. Camara D."", ""84' Kayali A. Arokoyo G.""]",[],"[""54' Vranjes O.""]",[],"[""54' Vranjes O.""]",Yildirim Y.  (Tur),Bursa Atatürk Stadyumu  (Bursa),25 661,
Turkey,super-lig,Kayseri Erciyesspor,Basaksehir,0,1,2014/2015,17.05,13:00,0 - 0,0 - 1,[],"[""80' 0 - 1 Tekdemir M.""]","[""63' Alkilic C. Ozturk E."", ""80' Ozen M. Akgun M."", ""83' Edinho Sylla Y.""]","[""60' Madureira D. Rotman R."", ""70' Senturk S. Batdal M."", ""83' Agcay S. Tekdemir M.""]","[""62' Pulgir E."", ""90+4' Ozen M.""]",[],[],[],Gocek H.  (Tur),Kadir Has Stadium  (Kayseri),32 864,
Turkey,super-lig,Galatasaray,Genclerbirligi,1,0,2014/2015,16.05,20:00,0 - 0,1 - 0,"[""66' 1 - 0 Sneijder W. (Yilmaz B.)""]",[],"[""15' Altintop H. Inan S."", ""84' Adin O. Altintop H."", ""90+3' Kurtulus Y. Yilmaz B.""]","[""77' Kahveci I. C. Celik M."", ""77' Landel G. Hleb A."", ""84' Tomic N. Petrovic R.""]",[],[],[],[],Ozkahya H.  (Tur),Rams Park  (Istanbul),53 798,
Turkey,super-lig,Sivasspor,Kasimpasa,1,1,2014/2015,16.05,19:00,0 - 0,1 - 1,"[""88' 1 - 1 Chahechouhe A. (Yilmazer M.)""]","[""72' 0 - 1 Derdiyok E. (Donk R.)""]","[""46' Yilmazer M. Utaka J. C."", ""76' Karabulut A. Eser B."", ""85' Akin I. Arslan H.""]","[""50' Dvali L. Eker I."", ""59' Derdiyok E. Ayaz I."", ""65' Torun T. Kiraz F.""]","[""83' Taskiran E.""]",[],[],[],Sahan C.  (Tur),Yeni 4 Eylül Stadyumu  (Sivas),14 998,
Turkey,super-lig,Balikesirspor,Kardemir Karabuk,4,2,2014/2015,16.05,16:00,2 - 1,2 - 1,"[""10' 1 - 0 Yildirim S."", ""24' 2 - 0 Zec E. (Yildirim S.)"", ""65' 3 - 2 Yildirim S. (Penalty)"", ""80' 4 - 2 Calik B. (Ataseven E.)""]","[""37' 2 - 1 Cagiran M. (Traore A.)"", ""60' 2 - 2 Akca M. (Ozgenc E.)""]","[""46' Kulusic A. Celik M."", ""68' Depe I. Promise I."", ""79' Calik B. Yildirim S.""]","[""59' Kas E. Ozek A."", ""59' Ayik O. Viola V."", ""84' Sow S. Akpala J.""]","[""43' Promise I."", ""45' Vukovic A."", ""78' Yildirim S."", ""80' Calik B."", ""88' Yildiz A.""]",[],[],[],Aydinus F.  (Tur),,,
Turkey,super-lig,Akhisarspor,Besiktas,1,1,2014/2015,14.05,19:45,1 - 0,0 - 1,"[""14' 1 - 0 Akyuz M. (Kisa B.)""]","[""54' 1 - 1 Ba D. (Sosa J.)""]","[""82' Zokora D. Luan"", ""87' Kosnek P. Akyuz M."", ""90' Cebe A. Unlu T.""]","[""46' Pektemek M. Kurtulus S."", ""75' Frei K. Arslan T."", ""84' Tosun C. Sahan O.""]","[""32' Keles K."", ""38' LuaLua L."", ""43' Luan"", ""66' Kisa B."", ""86' Vural G.""]",[],[],[],Yildirim B.  (Tur),,,
Turkey,super-lig,Fenerbahce,Kayseri Erciyesspor,1,1,2014/2015,13.05,19:45,1 - 1,0 - 0,"[""2' 1 - 0 Korkmaz E. (Diego)""]","[""6' 1 - 1 Zoua J. (Karaer A.)""]","[""46' Meireles R. Kuyt D."", ""46' Potuk A. Sahin S.""]","[""73' Edinho Vleminckx B."", ""79' Secme M. Caglayan O."", ""90' Ozen M. Zoua J.""]","[""54' Gonul G."", ""75' Alves B."", ""83' Erkin C."", ""90+1' Potuk A.""]",[],[],[],Kalkavan M.  (Tur),Ataturk Stadium  (Istanbul),74 753,
Turkey,super-lig,Gaziantepspor,Rizespor,1,2,2014/2015,13.05,19:45,0 - 1,1 - 1,"[""50' 1 - 1 Demir M. (Arokoyo G.)""]","[""24' 0 - 1 Kadah D. (Penalty)"", ""79' 1 - 2 Lafferty K. (Albayrak E.)""]","[""46' Leal L. Ildiz M."", ""58' Durak M. Ayaz F."", ""85' Cinar O. Turk O.""]","[""56' Obraniak L. Oboabona G."", ""63' Lafferty K. Holosko F."", ""88' Korkmaz U. Kweuke L.""]","[""90+4' Camara D.""]",[],[],[],Cakir C.  (Tur),Gaziantep Kamil Ocak Stadium (Inactive)  (Gaziantep),16 981,
Turkey,super-lig,Trabzonspor,Bursaspor,1,0,2014/2015,13.05,16:45,0 - 0,1 - 0,"[""46' 1 - 0 Hurmaci O. (Atik F.)""]",[],"[""31' Atik F. Bosingwa J."", ""76' Demir A. Zengin E."", ""81' Waris M. Cardozo O.""]","[""62' Holmen S. Sen V."", ""62' Yilmaz B. Josue"", ""80' Unal E. Tufan O.""]","[""78' Cardozo O.""]",[],[],[],Aydinus F.  (Tur),Hüseyin Avni Aker Stadium  (Trabzon),24 169,
Turkey,super-lig,Kardemir Karabuk,Eskisehirspor,2,2,2014/2015,12.05,19:45,1 - 0,1 - 2,"[""40' 1 - 0 Traore A. (Cagiran M.)"", ""55' 2 - 2 Ozek A. (Akpala J.)""]","[""49' 1 - 1 Sismanoglu O. (Kanak K.)"", ""52' 1 - 2 Gural E. (Sissoko I.)""]","[""68' Kas E. Viola V."", ""82' Akca M. Incedemir Y.""]","[""22' Guleryuz A. Toko"", ""46' Gural E. Ozkan S."", ""68' Teber E. Kanak K.""]","[""53' Viola V."", ""90+1' Ozek A.""]",[],[],[],Gocek H.  (Tur),,,
