Country,Lig,home_team,away_team,home_score,away_score,season_year,Date_day,Date_hour,first_half,second_half,home_team_goals,away_team_goals,home_team_substitutions,away_team_substitutions,home_team_yellow_card,away_team_yellow_card,home_team_red_card,away_team_red_card,referee,venue,capacity,attendance
Spain,laliga,Betis,Real Sociedad,0,0,2017/2018,01.03,21:30,0 - 0,0 - 0,[],[],"[""69' Castro R. Leon S."", ""69' Joaquin Boudebouz R."", ""83' Camarasa V. Tello C.""]","[""66' Guridi J. Zurutuza D."", ""73' Januzaj A. Juanmi"", ""90+2' Jon B. Oyarzabal M.""]","[""35' Leon S. (Tripping)"", ""56' Bartra M. (Holding)""]",[],[],[],Gonzalez G.  (Esp),Estadio Benito Villamarín  (Sevilla),60 721,40 288
Spain,laliga,Atl. Madrid,Leganes,4,0,2017/2018,28.02,23:30,2 - 0,2 - 0,"[""26' 1 - 0 Griezmann A. (Koke)"", ""35' 2 - 0 Griezmann A."", ""56' 3 - 0 Griezmann A. (Filipe Luis)"", ""67' 4 - 0 Griezmann A. (Costa D.)""]",[],"[""60' Vitolo Partey T."", ""73' Gameiro K. Griezmann A."", ""73' Torres F. Costa D.""]","[""46' Amrabat N. Rico D."", ""46' Mozo Gabriel Pires"", ""56' Naranjo J. Eraso J.""]","[""69' Griezmann A. (Tripping)""]",[],[],[],Fernandez J.  (Esp),Metropolitano Stadium  (Madrid),70 460,35 033
Spain,laliga,Eibar,Villarreal,1,0,2017/2018,28.02,23:30,1 - 0,0 - 0,"[""16' 1 - 0 Garcia K. (Leon P.)""]",[],"[""62' Pena R. Capa A."", ""67' Joan Jordan Charles"", ""87' Inui T. Leon P.""]","[""55' Bacca C. Unal E."", ""63' Trigueros M. Fuego J."", ""73' Fornals P. Cheryshev D.""]","[""51' Arbilla A. (Tripping)"", ""73' Junca D. (Foul)"", ""81' Dmitrovic M. (Delay of game)"", ""90+1' Orellana F. (Delay of game)""]",[],[],[],Lopez M.  (Esp),Estadio Municipal de Ipurua  (Eibar),8 164,4 056
Spain,laliga,Ath Bilbao,Valencia,1,1,2017/2018,28.02,21:30,0 - 1,1 - 0,"[""49' 1 - 1 de Marcos O.""]","[""23' 0 - 1 Kondogbia G. (Torres F.)""]","[""63' Williams I. Susaeta M."", ""77' Lekue I. Garcia R.""]","[""71' Rodrigo Vietto L."", ""75' Guedes G. Torres F."", ""83' Soler C. Zaza S.""]","[""29' Cordoba I. (Diving)""]",[],[],[],Gil Manzano J.  (Esp),Estadio San Mamés  (Bilbao),53 331,34 382
Spain,laliga,Getafe,Dep. La Coruna,3,0,2017/2018,28.02,21:30,2 - 0,1 - 0,"[""40' 1 - 0 Rodriguez A. (Ndiaye A.)"", ""44' 2 - 0 Boveda E. (Own goal)"", ""82' 3 - 0 Molina J.""]",[],"[""64' Shibasaki G. Mora S."", ""75' Remy L. Rodriguez A."", ""85' Ndockyt M. Ndiaye A.""]","[""46' Borges C. Krohn-Dehli M."", ""63' Andone F. Muntari S."", ""77' Cartabia F. Bakkali Z.""]","[""25' Mora S. (Roughing)"", ""50' Ndiaye A. (Tripping)""]",[],[],[],Munuera Montero J.  (Esp),Coliseum  (Getafe),16 500,5 097
Spain,laliga,Malaga,Sevilla,0,1,2017/2018,28.02,21:30,0 - 1,0 - 0,[],"[""15' 0 - 1 Correa J. (Nolito)""]","[""34' En Nesyri Y. Success I."", ""76' Bueno Ideye B."", ""84' Samuel Gonzalez D.""]","[""63' Vazquez F. Correa J."", ""78' Ramirez S. Ben Yedder W."", ""88' Geis J. Nolito""]","[""44' Ideye B. (Tripping)"", ""65' Rosales R. (Roughing)""]",[],[],[],Del Cerro C.  (Esp),Estadio La Rosaleda  (Málaga),30 044,15 516
Spain,laliga,Girona,Celta Vigo,1,0,2017/2018,27.02,23:30,1 - 0,0 - 0,"[""14' 1 - 0 Portu (Planas C.)""]",[],"[""71' Garcia A. Garcia B."", ""85' Lozano C. Stuani C."", ""90+1' Timor D. Portu""]","[""75' Radoja N. Jozabed"", ""75' Boye L. Wass D.""]","[""26' Maffeo P. (Holding)"", ""53' Stuani C. (Unsportsmanlike conduct)"", ""86' Garcia A. (Unsportsmanlike conduct)""]",[],[],[],Trujillo Suarez D.  (Esp),Estadio Municipal de Montilivi  (Girona),14 624,6 392
Spain,laliga,Espanyol,Real Madrid,1,0,2017/2018,27.02,22:00,0 - 0,1 - 0,"[""90+3' 1 - 0 Moreno G. (Garcia S.)""]",[],"[""70' Granero E. Sanchez V."", ""79' Leo Baptistao Piatti P.""]","[""69' Benzema K. Isco"", ""81' Ceballos D. Bale G."", ""89' Mayoral B. Kovacic M.""]","[""81' Martin A. (Tripping)""]",[],[],[],Sanchez J.  (Esp),RCDE Stadium  (Cornella de Llobregat),40 000,19 805
Spain,laliga,Levante,Betis,0,2,2017/2018,26.02,23:00,0 - 0,0 - 2,[],"[""55' 0 - 1 Chema (Own goal)"", ""69' 0 - 2 Leon S. (Adan A.)""]","[""58' Lopez I. Jason"", ""65' Pazzini G. Sadiku A."", ""79' Rochina R. Postigo S.""]","[""65' Tello C. Moron L."", ""70' Camarasa V. Boudebouz R."", ""77' Barragan A. Joaquin""]","[""38' Sadiku A. (Tripping)"", ""62' Lerma J. (Holding)"", ""76' Marti R. (Elbowing)"", ""80' Chema (Elbowing)"", ""83' Doukoure C. (Tripping)""]",[],[],[],Bengoetxea R.  (Esp),Estadi Ciutat de València  (Valencia),26 354,16 545
Spain,laliga,Sevilla,Atl. Madrid,2,5,2017/2018,25.02,22:45,0 - 2,2 - 3,"[""85' 1 - 5 Sarabia P. (Ben Yedder W.)"", ""89' 2 - 5 Nolito (Escudero S.)""]","[""29' 0 - 1 Costa D."", ""42' 0 - 2 Griezmann A."", ""51' 0 - 3 Griezmann A. (Penalty)"", ""65' 0 - 4 Koke (Griezmann A.)"", ""81' 0 - 5 Griezmann A. (Niguez S.)""]","[""18' Layun M. Navas J."", ""60' Ben Yedder W. Correa J."", ""70' Nolito Vazquez F.""]","[""64' Correa A. Partey T."", ""71' Vitolo Koke"", ""76' Gameiro K. Costa D.""]","[""32' Correa J. (Diving)"", ""68' Escudero S. (Tripping)"", ""70' Vazquez F. (Roughing)""]",[],[],[],Munuera J.  (Esp),Estadio Ramón Sánchez Pizjuán  (Sevilla),42 714,37 884
