Country,Lig,home_team,away_team,home_score,away_score,season_year,Date_day,Date_hour,first_half,second_half,home_team_goals_current_time,home_team_goals_current_score,home_team_goals,home_team_goals_assist,away_team_goals_current_time,away_team_goals_current_score,away_team_goals,away_team_goals_assist,home_team_yellow_card_current_time,home_team_yellow_card,home_team_yellow_card_why,away_team_yellow_card_current_time,away_team_yellow_card,away_team_yellow_card_why,home_team_red_card_current_time,home_team_red_card,home_team_red_card_why,away_team_red_card_current_time,away_team_red_card,away_team_red_card_why,home_team_substitutions_current_time,home_team_substitutions,home_team_substitutions_with,home_team_substitution_why,away_team_substitutions_current_time,away_team_substitutions,away_team_substitutions_with,home_team_substitution_why,referee,venue,capacity,attendance
England,premier-league,Nottingham,Crystal Palace,1,0,2024/2025,21.10,22:00,0 - 0,1 - 0,"[""65'""]",['1 - 0'],['Wood Ch.'],['-'],[],[],[],[],"[""60'"", ""68'""]","['Anderson E.', 'Dominguez N.']","['(Tripping)', '(Tripping)']","[""6'"", ""42'"", ""90+5'""]","['Lerma J.', 'Kamada D.', 'Munoz D.']","['(Holding)', '(Holding)', '(Unsportsmanlike conduct)']",[],[],[],[],[],[],"[""63'"", ""78'"", ""78'"", ""84'"", ""84'""]","['Jota Silva', 'Morato', 'Williams N.', 'Sosa R.', 'Awoniyi T.']","['Elanga A.', 'Moreno A.', 'Anderson E.', 'Hudson-Odoi C.', 'Wood Ch.']","['-', '-', '-', '(Injury)', '-']","[""66'"", ""74'"", ""74'"", ""88'""]","['Mateta J.', 'Sarr I.', 'Schlupp J.', 'Agbinone A.']","['Nketiah E.', 'Hughes W.', 'Mitchell T.', 'Kamada D.']","['-', '-', '-', '-']",Robinson T.  (Eng),City Ground  (Nottingham),30 404,29 443
England,premier-league,Liverpool,Chelsea,2,1,2024/2025,20.10,18:30,1 - 0,1 - 1,"[""29'"", ""51'""]","['1 - 0', '2 - 1']","['Salah M.', 'Jones C.']","['(Penalty)', '(Salah M.)']","[""48'""]",['1 - 1'],['Jackson N.'],['(Caicedo M.)'],"[""26'"", ""45+8'"", ""69'"", ""80'"", ""90+2'""]","['Slot A.', 'Szoboszlai D.', 'Nunez D.', 'Konate I.', 'Mac Allister A.']","['(Not on pitch)', '(Holding)', '(Roughing)', '(Roughing)', '(Roughing)']","[""6'"", ""28'"", ""78'""]","['Adarabioyo T.', 'Jackson N.', 'Veiga R.']","['(Roughing)', '(Unsportsmanlike conduct)', '(Roughing)']",[],[],[],[],[],[],"[""30'"", ""66'"", ""81'"", ""81'""]","['Nunez D.', 'Diaz L.', 'Mac Allister A.', 'Gomez J.']","['Diogo Jota', 'Gakpo C.', 'Jones C.', 'Alexander-Arnold T.']","['(Injury)', '-', '-', '-']","[""46'"", ""53'"", ""53'"", ""53'"", ""76'""]","['Neto P.', 'Fernandez E.', 'Veiga R.', 'Badiashile B.', 'Nkunku C.']","['Sancho J.', 'Lavia R.', 'James R.', 'Adarabioyo T.', 'Madueke N.']","['-', '-', '-', '-', '-']",Brooks J.  (Eng),Anfield  (Liverpool),61 276,60 277
England,premier-league,Wolves,Manchester City,1,2,2024/2025,20.10,16:00,1 - 1,0 - 1,"[""7'""]",['1 - 0'],['Larsen J. S.'],['(Semedo N.)'],"[""33'"", ""90+5'""]","['1 - 1', '1 - 2']","['Gvardiol J.', 'Stones J.']","['(Doku J.)', '(Foden P.)']","[""14'"", ""20'"", ""63'"", ""90+8'""]","['Toti', 'Semedo N.', 'Gomes J.', 'Sarabia P.']","['(Tripping)', '(Tripping)', '(Unsportsmanlike conduct)', '(Not on pitch)']","[""39'""]",['Savinho'],['(Roughing)'],[],[],[],[],[],[],"[""46'"", ""67'"", ""80'"", ""90'""]","['Doyle T.', 'Forbs C.', 'Guedes G.', 'Bellegarde J.']","['Andre', 'Cunha M.', 'Larsen J. S.', 'Gomes J.']","['-', '-', '-', '-']","[""66'"", ""73'"", ""86'""]","['Foden P.', 'Grealish J.', 'Nunes M.']","['Doku J.', 'Savinho', 'Kovacic M.']","['-', '-', '-']",Kavanagh C.  (Eng),Molineux Stadium  (Wolverhampton),31 750,31 319
England,premier-league,Bournemouth,Arsenal,2,0,2024/2025,19.10,19:30,0 - 0,2 - 0,"[""70'"", ""79'""]","['1 - 0', '2 - 0']","['Christie R.', 'Kluivert J.']","['(Kluivert J.)', '(Penalty)']",[],[],[],[],"[""62'""]",['Semenyo A.'],['(Delay of game)'],"[""68'""]",['White B.'],['(Delay of game)'],[],[],[],"[""30'""]",['Saliba W.'],['(Holding)'],"[""46'"", ""63'"", ""63'"", ""63'"", ""82'""]","['Smith A.', 'Sinisterra L.', 'Kluivert J.', 'Christie R.', 'Unal E.']","['Araujo J.', 'Ouattara Da.', 'Scott A.', 'Tavernier M.', 'Evanilson']","['-', '-', '-', '-', '-']","[""37'"", ""64'"", ""80'"", ""81'""]","['Kiwior J.', 'Martinelli G.', 'Gabriel Jesus', 'Nwaneri E.']","['Sterling R.', 'Trossard L.', 'Kiwior J.', 'Merino M.']","['-', '-', '-', '-']",Jones R.  (Eng),Vitality Stadium  (Bournemouth),11 307,11 235
England,premier-league,Fulham,Aston Villa,1,3,2024/2025,19.10,17:00,1 - 1,0 - 2,"[""5'""]",['1 - 0'],['Jimenez R.'],['(Leno B.)'],"[""9'"", ""59'"", ""69'""]","['1 - 1', '1 - 2', '1 - 3']","['Rogers M.', 'Watkins O.', 'Diop I.']","['(Ramsey J.)', '(Tielemans Y.)', '(Own goal)']","[""57'"", ""65'"", ""71'"", ""90+8'""]","['Bassey C.', 'Smith Rowe E.', 'Robinson A.', 'Diop I.']","['(Unsportsmanlike conduct)', '(Unsportsmanlike conduct)', '(Foul)', '(Foul)']","[""33'"", ""70'"", ""83'"", ""88'""]","['Bailey L.', 'Rogers M.', 'Digne L.', 'Philogene J.']","['(Unsportsmanlike conduct)', '(Foul)', '(Roughing)', '(Holding)']","[""64'""]",['Andersen J.'],['(Tripping)'],"[""90+3'""]",['Philogene J.'],['(Tripping)'],"[""68'"", ""68'"", ""80'"", ""80'""]","['Diop I.', 'Nelson R.', 'Cairney T.', 'Wilson H.']","['Pereira A.', 'Traore A.', 'Smith Rowe E.', 'Berge S.']","['-', '-', '-', '-']","[""61'"", ""75'"", ""75'"", ""83'"", ""83'""]","['Philogene J.', 'Barkley R.', 'Duran J.', 'Buendia E.', 'McGinn J.']","['Bailey L.', 'Onana A.', 'Watkins O.', 'Ramsey J.', 'Rogers M.']","['-', '-', '-', '-', '-']",England D.  (Eng),Craven Cottage  (London),29 589,26 743
England,premier-league,Ipswich,Everton,0,2,2024/2025,19.10,17:00,0 - 2,0 - 0,[],[],[],[],"[""17'"", ""40'""]","['0 - 1', '0 - 2']","['Ndiaye I.', 'Keane M.']","['-', '(McNeil D.)']","[""90+3'""]",['Taylor J.'],['(Tripping)'],"[""24'""]",['Keane M.'],['(Tripping)'],[],[],[],[],[],[],"[""63'"", ""63'"", ""71'"", ""71'"", ""79'""]","['Chaplin C.', 'Clarke H.', 'Taylor J.', 'Szmodics S.', 'Hirst G.']","['Burns W.', ""O'Shea D."", 'Phillips K.', 'Clarke J.', 'Delap L.']","['-', '-', '-', '-', '-']","[""81'""]",['Mangala O.'],['Ndiaye I.'],['-'],Oliver M.  (Eng),Portman Road  (Ipswich),29 673,29 862
England,premier-league,Manchester Utd,Brentford,2,1,2024/2025,19.10,17:00,0 - 1,2 - 0,"[""47'"", ""62'""]","['1 - 1', '2 - 1']","['Garnacho A.', 'Hojlund R.']","['(Rashford M.)', '(Fernandes B.)']","[""45+5'""]",['0 - 1'],['Pinnock E.'],['(Damsgaard M.)'],"[""45+6'"", ""45+7'"", ""54'""]","['Evans J.', 'ten Hag E.', 'Dalot D.']","['(Unsportsmanlike conduct)', '(Not on pitch)', '(Tripping)']","[""55'"", ""73'""]","['Norgaard C.', 'Ajer K.']","['(Holding)', '(Roughing)']",[],[],[],[],[],[],"[""74'"", ""88'"", ""89'"", ""90+1'""]","['Zirkzee J.', 'Ugarte M.', 'Lindelof V.', 'Mazraoui N.']","['Hojlund R.', 'Casemiro', 'Evans J.', 'Garnacho A.']","['-', '(Injury)', '-', '-']","[""66'"", ""74'"", ""75'"", ""87'""]","['Wissa Y.', 'Carvalho F.', 'Yarmolyuk Y.', 'Roerslev Rasmussen M.']","['Lewis-Potter K.', 'Schade K.', 'Janelt V.', 'van den Berg S.']","['-', '-', '-', '-']",Barrott S.  (Eng),Old Trafford  (Manchester),75 635,73 738
England,premier-league,Newcastle,Brighton,0,1,2024/2025,19.10,17:00,0 - 1,0 - 0,[],[],[],[],"[""35'""]",['0 - 1'],['Welbeck D.'],['(Rutter G.)'],"[""10'"", ""37'""]","['Burn D.', 'Hall L.']","['(Holding)', '(Unsportsmanlike conduct)']","[""45'"", ""71'""]","['Ayari Y.', 'Hinshelwood J.']","['(Tripping)', '(Foul)']",[],[],[],[],[],[],"[""65'"", ""66'"", ""85'"", ""85'"", ""90+2'""]","['Barnes H.', 'Willock J.', 'Almiron M.', 'Longstaff S.', 'Osula W.']","['Murphy J.', 'Tonali S.', 'Guimaraes B.', 'Gordon A.', 'Hall L.']","['-', '-', '-', '-', '-']","[""60'"", ""71'"", ""72'"", ""81'"", ""82'""]","['Mitoma K.', 'Wieffer M.', 'Estupinan P.', 'van Hecke J. P.', 'Enciso J.']","['Ferguson E.', 'Baleba C.', 'Rutter G.', 'Welbeck D.', 'Ayari Y.']","['-', '-', '-', '(Injury)', '-']",Bankes P.  (Eng),St. James' Park  (Newcastle),52 305,52 220
England,premier-league,Southampton,Leicester,2,3,2024/2025,19.10,17:00,2 - 0,0 - 3,"[""8'"", ""28'""]","['1 - 0', '2 - 0']","['Archer C.', 'Aribo J.']","['-', '(Walker-Peters K.)']","[""64'"", ""74'"", ""90+8'""]","['2 - 1', '2 - 2', '2 - 3']","['Buonanotte F.', 'Vardy J.', 'Ayew J.']","['(Fatawu I.)', '(Penalty)', '(Winks H.)']","[""6'"", ""10'"", ""33'"", ""36'"", ""49'"", ""90+9'""]","['Manning R.', 'Fernandes M.', 'Harwood-Bellis T.', 'Dibling T.', 'Sugawara Y.', 'Martin R.']","['(Foul)', '(Roughing)', '(Tripping)', '(Holding)', '(Foul)', '(Not on pitch)']","[""52'"", ""62'"", ""70'""]","['Vardy J.', 'Buonanotte F.', 'Winks H.']","['(Roughing)', '(Holding)', '(Roughing)']","[""73'""]",['Fraser R.'],['(Holding)'],[],[],[],"[""62'"", ""68'"", ""68'"", ""78'"", ""78'""]","['Fraser R.', 'Onuachu P.', 'Smallbone W.', 'Taylor C.', 'Sulemana K.']","['Sugawara Y.', 'Archer C.', 'Fernandes M.', 'Manning R.', 'Dibling T.']","['-', '-', '-', '-', '-']","[""46'"", ""59'"", ""68'"", ""88'""]","['Winks H.', 'Fatawu I.', 'Ayew J.', 'De Cordova-Reid B.']","['Skipp O.', 'Kristiansen V.', 'El Khannouss B.', 'Mavididi S.']","['-', '-', '-', '-']",Taylor A.  (Eng),St. Mary's Stadium  (Southampton),32 384,31 145
England,premier-league,Tottenham,West Ham,4,1,2024/2025,19.10,14:30,1 - 1,3 - 0,"[""36'"", ""52'"", ""55'"", ""60'""]","['1 - 1', '2 - 1', '3 - 1', '4 - 1']","['Kulusevski D.', 'Bissouma Y.', 'Areola A.', 'Son Heung-Min']","['(Maddison J.)', '(Udogie D.)', '(Own goal)', '(Sarr P. M.)']","[""18'""]",['0 - 1'],['Kudus M.'],['-'],"[""84'""]",['van de Ven M.'],['(Unsportsmanlike conduct)'],"[""43'"", ""56'"", ""67'""]","['Paqueta L.', 'Soucek T.', 'Soler C.']","['(Holding)', '(Roughing)', '(Foul)']",[],[],[],"[""86'""]",['Kudus M.'],['(Unsportsmanlike conduct)'],"[""46'"", ""70'"", ""81'"", ""81'"", ""88'""]","['Sarr P. M.', 'Werner T.', 'Richarlison', 'Bentancur R.', 'Gray A.']","['Maddison J.', 'Son Heung-Min', 'Solanke D.', 'Bissouma Y.', 'Udogie D.']","['-', '-', '-', '-', '-']","[""61'"", ""61'"", ""61'"", ""70'""]","['Alvarez E.', 'Summerville C.', 'Soler C.', 'Mavropanos K.']","['Paqueta L.', 'Antonio M.', 'Soucek T.', 'Rodriguez G.']","['-', '-', '-', '-']",Madley A.  (Eng),Tottenham Hotspur Stadium  (London),62 850,61 381
