,Country,League
923,Spain,Segunda RFEF - Play Out
924,Spain,Tercera RFEF - Group 1
925,Spain,Tercera RFEF - Group 2
926,Spain,Tercera RFEF - Group 3
927,Spain,Tercera RFEF - Group 4
928,Spain,Tercera RFEF - Group 5
929,Spain,Tercera RFEF - Group 6
930,Spain,Tercera RFEF - Group 7
931,Spain,Tercera RFEF - Group 8
932,Spain,Tercera RFEF - Group 9
933,Spain,Tercera RFEF - Group 10
934,Spain,Tercera RFEF - Group 11
935,Spain,Tercera RFEF - Group 12
936,Spain,Tercera RFEF - Group 13
937,Spain,Tercera RFEF - Group 14
938,Spain,Tercera RFEF - Group 15
939,Spain,Tercera RFEF - Group 16
940,Spain,Tercera RFEF - Group 17
941,Spain,Tercera RFEF - Group 18
942,Spain,Tercera Division - Play Offs
943,Spain,Tercera RFEF - Promotion Play Offs
944,Spain,Copa del Rey
945,Spain,Copa Federacion
946,Spain,Super Cup
947,Spain,Liga F Women
948,Spain,Primera Federacion Women
949,Spain,Copa de la Reina Women
950,Spain,Super Cup Women
951,Sri Lanka,Super League
952,Sudan,Super League
953,Suriname,SML
954,Sweden,Allsvenskan
955,Sweden,Superettan
956,Sweden,Division 1 - Norra
957,Sweden,Division 1 - Södra
958,Sweden,Division 1 - Relegation
959,Sweden,Division 2 - Norrland
960,Sweden,Division 2 - Norra Götaland
961,Sweden,Division 2 - Norra Svealand
962,Sweden,Division 2 - Södra Götaland
963,Sweden,Division 2 - Södra Svealand
964,Sweden,Division 2 - Västra Götaland
965,Sweden,Division 2 - Östra Götaland
966,Sweden,Division 2 - Promotion Group
967,Sweden,Svenska Cupen
968,Sweden,Super Cup
969,Sweden,Allsvenskan Women
970,Sweden,Elitettan Women
971,Sweden,Svenska Cupen Women
972,Sweden,Super Cup Women
973,Switzerland,Super League
974,Switzerland,Challenge League
975,Switzerland,Promotion League
976,Switzerland,1.Liga Classic Group 1
977,Switzerland,1.Liga Classic Group 2
978,Switzerland,1.Liga Classic Group 3
979,Switzerland,1.Liga Classic Play Offs
980,Switzerland,Swiss Cup
981,Switzerland,1.Liga Classic Cup
982,Switzerland,Super League Women
983,Syria,Premier League
984,Syria,Syria Cup
985,Taiwan,Premier League
986,Taiwan,Mulan Football League Women
987,Tajikistan,Vysshaya Liga
988,Tajikistan,Super Cup
989,Tanzania,Ligi Kuu Bara
990,Tanzania,Federation Cup
991,Tanzania,Community Shield
992,Thailand,Thai League 1
993,Thailand,Thai League 2
994,Thailand,Thai FA Cup
995,Thailand,League Cup
996,Thailand,Champions Cup
997,Togo,Championnat National
998,Trinidad and Tobago,TT Premier League
999,Tunisia,Ligue Professionnelle 1
1000,Tunisia,Ligue 2
1001,Tunisia,Tunisia Cup
1002,Tunisia,Super Cup
1003,Turkey,Super Lig
1004,Turkey,1. Lig
1005,Turkey,2. Lig White Group
1006,Turkey,2. Lig Red Group
1007,Turkey,2. Lig Play Offs
1008,Turkey,3. Lig Group 1
1009,Turkey,3. Lig Group 2
1010,Turkey,3. Lig Group 3
1011,Turkey,3. Lig Group 4
1012,Turkey,TFF 3. Lig Play Offs
1013,Turkey,Turkish Cup
1014,Turkey,Super Cup
1015,Turkey,Super Lig Women
1016,Turkmenistan,Yokary Liga
1017,Uganda,Premier League
1018,Uganda,Big League
1019,Uganda,Uganda Cup
1020,Ukraine,Premier League
1021,Ukraine,Persha Liga
1022,Ukraine,Druha Liga
1023,Ukraine,U19 League
1024,Ukraine,Ukrainian Cup
1025,Ukraine,Super Cup
1026,Ukraine,Championship Women
1027,United Arab Emirates,UAE League
1028,United Arab Emirates,Division 1
1029,United Arab Emirates,League Cup
1030,United Arab Emirates,Presidents Cup
1031,United Arab Emirates,Super Cup
1032,Uruguay,Primera Division
1033,Uruguay,Segunda Division
1034,Uruguay,Copa Uruguay
1035,Uruguay,Super Cup
1036,USA,MLS
1037,USA,USL Championship
1038,USA,MLS Next Pro
1039,USA,USL League One
1040,USA,USL League Two
1041,USA,NISA
1042,USA,US Open Cup
1043,USA,USL League One Cup
1044,USA,MLS is Back
1045,USA,Carolina Challenge Cup
1046,USA,NWSL Women
1047,USA,USL Super League Women
1048,USA,NWSL Challenge Cup Women
1049,Uzbekistan,Super League
1050,Uzbekistan,Pro Liga
1051,Uzbekistan,Uzbekistan Cup
1052,Uzbekistan,Super Cup
1053,Venezuela,Liga FUTVE
1054,Venezuela,Liga FUTVE 2
1055,Venezuela,Copa Venezuela
1056,Venezuela,Copa Bicentenaria
1057,Vietnam,V.League 1
1058,Vietnam,V.League 2
1059,Vietnam,Vietnamese Cup
1060,Vietnam,Super Cup
1061,Vietnam,National League Women
1062,Vietnam,Vietnamese Cup Women
1063,Wales,Cymru Premier
1064,Wales,Cymru South
1065,Wales,Cymru North
1066,Wales,Cymru Alliance
1067,Wales,FA Cup
1068,Wales,League Cup
1069,Wales,Premier Women
1070,Yemen,Division 1
1071,Zambia,Super League
1072,Zambia,Absa Cup
1073,Zambia,Super Cup
1074,Zimbabwe,Premier Soccer League
1075,Zimbabwe,Chibuku Super Cup
1076,Africa,Africa Cup of Nations
1077,Africa,AFL
1078,Africa,CAF Champions League
1079,Africa,World Championship
1080,Africa,CAF Confederation Cup
1081,Africa,CAF Super Cup
1082,Africa,African Games
1083,Africa,African Nations Championship
1084,Africa,Africa Cup of Nations U23
1085,Africa,Africa Cup of Nations U20
1086,Africa,Africa Cup of Nations U17
1087,Africa,CECAFA Championship
1088,Africa,CECAFA Clubs Cup
1089,Africa,CECAFA Championship U20
1090,Africa,COSAFA Cup
1091,Africa,COSAFA Championship U20
1092,Africa,Africa Cup of Nations Women
1093,Africa,CAF Champions League Women
1094,Africa,African Games Women
1095,Africa,CECAFA Championship Women
1096,Africa,COSAFA Cup Women
1097,Africa,WAFU Cup of Nations
1098,Asia,Asian Cup
1099,Asia,AFC Champions League
1100,Asia,AFC Champions League 2
1101,Asia,AFC Challenge League
1102,Asia,EAFF E-1 Football Championship
1103,Asia,World Championship
1104,Asia,SAFF Championship
1105,Asia,ASEAN Championship
1106,Asia,ASEAN Club Championship
1107,Asia,WAFF Championship
1108,Asia,WAFF Championship U23
1109,Asia,WAFF Championship U19
1110,Asia,Asian Games
1111,Asia,Southeast Asian Games
1112,Asia,Super Cup UAE / Qatar
1113,Asia,Super Shield UAE / Qatar
1114,Asia,AFC Asian Cup U23
1115,Asia,AFC Asian Cup U20
1116,Asia,AFC Asian Cup U17
1117,Asia,AFF Championship U23
1118,Asia,ASEAN Championship U19
1119,Asia,AFC Solidarity Cup
1120,Asia,CAFA Nations Cup
1121,Asia,Guangdong - Hong Kong Cup
1122,Asia,Gulf Cup of Nations
1123,Asia,Gulf Club Champions League
1124,Asia,Merdeka Cup
1125,Asia,SAFF Championship U20
1126,Asia,Asian Cup Women
1127,Asia,Asian Games Women
1128,Asia,AFC Champions League Women
1129,Asia,EAFF E-1 Football Championship Women
1130,Asia,East Asian Games Women
1131,Asia,Southeast Asian Games Women
1132,Asia,AFC Club Championship Women
1133,Asia,AFC Asian Cup Women U20
1134,Asia,AFC Asian Cup Women U17
1135,Asia,AFF Championship Women
1136,Asia,CAFA Championship Women
1137,Asia,SAFF Championship Women
1138,Asia,WAFF Championship Women
1139,Australia & Oceania,OFC Nations Cup
1140,Australia & Oceania,OFC Champions League
1141,Australia & Oceania,OFC Championship U23
1142,Australia & Oceania,OFC Championship U19
1143,Australia & Oceania,OFC Championship U16
1144,Australia & Oceania,Pacific Games
1145,Australia & Oceania,OFC Nations Cup Women
1146,Australia & Oceania,OFC Championship U19 Women
1147,Australia & Oceania,World Championship
1148,Australia & Oceania,OFC Championship U16 Women
1149,Australia & Oceania,Pacific Games Women
1150,Europe,Euro
1151,Europe,Champions League
1152,Europe,Europa League
1153,Europe,Conference League
1154,Europe,UEFA Nations League
1155,Europe,Euro U21
1156,Europe,Euro U19
1157,Europe,World Championship
1158,Europe,Euro U17
1159,Europe,UEFA Super Cup
1160,Europe,UEFA Regions' Cup
1161,Europe,UEFA Youth League
1162,Europe,Elite League U20
1163,Europe,Atlantic Cup
1164,Europe,Baltic Cup
1165,Europe,Baltic Cup U21
1166,Europe,Czech-Slovak Super Cup
1167,Europe,Emirates Cup
1168,Europe,Marbella Cup
1169,Europe,Premier League International Cup
1170,Europe,Premier League (Crimea)
1171,Europe,Tipsport Malta Cup
1172,Europe,Uhren Cup
1173,Europe,Champions League Women
1174,Europe,Euro Women
1175,Europe,UEFA Nations League Women
1176,Europe,Euro U19 Women
1177,Europe,Euro U17 Women
1178,Europe,All-Island Cup Women
1179,North & Central America,Gold Cup
1180,North & Central America,CONCACAF Champions Cup
1181,North & Central America,CONCACAF Nations League
1182,North & Central America,CONCACAF League
1183,North & Central America,World Championship
1184,North & Central America,CONCACAF Central American Cup
1185,North & Central America,CONCACAF Cup
1186,North & Central America,CONCACAF Championship U20
1187,North & Central America,CONCACAF Championship U17
1188,North & Central America,Campeones Cup
1189,North & Central America,Caribbean Cup
1190,North & Central America,CONCACAF Caribbean Cup
1191,North & Central America,CFU Club Shield
1192,North & Central America,Central American & Caribbean Games
1193,North & Central America,Copa Centroamericana
1194,North & Central America,Leagues Cup
1195,North & Central America,Gold Cup Women
1196,North & Central America,CONCACAF Champions Cup Women
1197,North & Central America,CONCACAF Championship Women
1198,North & Central America,CONCACAF Championship Women U20
1199,North & Central America,CONCACAF Championship Women U17
1200,North & Central America,Central American & Caribbean Games Women
1201,South America,Copa América
1202,South America,Copa Libertadores
1203,South America,Copa Sudamericana
1204,South America,Recopa Sudamericana
1205,South America,Copa Libertadores U20
1206,South America,World Championship
1207,South America,South American Championship U20
1208,South America,South American Championship U17
1209,South America,South American Games U20
1210,South America,Serie Rio de la Plata
1211,South America,Copa Antel
1212,South America,Copa América Women
1213,South America,Copa Libertadores Women
1214,South America,South American Championship Women U20
1215,South America,South American Championship Women U17
1216,South America,South American Games Women U20
1217,World,World Championship
1218,World,Olympic Games
1219,World,FIFA Club World Cup
1220,World,FIFA Intercontinental Cup
1221,World,FIFA Confederations Cup
1222,World,World Cup U20
1223,World,World Cup U17
1224,World,Finalissima
1225,World,UEFA CONMEBOL Club Challenge
1226,World,Friendly International
1227,World,Club Friendly
1228,World,Arab Club Champions Cup
1229,World,Arab Cup U20
1230,World,FIFA Arab Cup
1231,World,Audi Cup
1232,World,Bangabandhu Gold Cup
1233,World,Berlusconi Trophy
1234,World,CEE Cup
1235,World,NextGen Cup
1236,World,China Cup
1237,World,COTIF Tournament
1238,World,International Champions Cup
1239,World,Intercontinental Cup U20
1240,World,Islamic Solidarity Games
1241,World,Jezek Cup
1242,World,J.League Cup / Copa Sudamericana
1243,World,Kings Cup (Thailand)
1244,World,Kirin Cup (Japan)
1245,World,La Manga Cup
1246,World,Mediterranean Games
1247,World,Nordic Tournament U17
1248,World,NWSL x Liga MX Women Summer Cup
1249,World,Pan American Games
1250,World,Premier League Asia Trophy
1251,World,Slovakia Cup
1252,World,Maurice Revello Tournament
1253,World,Trofeo Colombino
1254,World,Universiade
1255,World,Valentin Granatkin Memorial
1256,World,Viareggio Cup
1257,World,Visit Tucson Sun Cup
1258,World,World Medical Football Championship
1259,World,World Cup Women
1260,World,World Cup Women U20
1261,World,World Cup Women U17
1262,World,Olympic Games Women
1263,World,Friendly International Women
1264,World,Club Friendly Women
1265,World,Algarve Cup Women
1266,World,Arnold Clark Cup Women
1267,World,Finalissima Women
1268,World,International Champions Cup Women
1269,World,International Tournament (Cyprus) Women
1270,World,Istria Cup Women
1271,World,Pan American Games Women
1272,World,SheBelieves Cup Women
1273,World,Tournament of Nations Women
1274,World,Tournoi de France Women
1275,World,Universiade Women
