,Country,League
215,Brazil,Matogrossense U20
216,Brazil,Mineiro U20
217,Brazil,Paraense U20
218,Brazil,Paraibano U20
219,Brazil,Paranaense U20
220,Brazil,Paulista U20
221,Brazil,Pernambucano U20
222,Brazil,Potiguar U20
223,Brazil,Rondoniense U20
224,Brazil,Sergipano U20
225,Brazil,Sul-Matogrossense U20
226,Brazil,Copinha
227,Brazil,Brasileiro Women
228,Brazil,Brasileiro A2 Women
229,Brazil,Brasileiro A3 Women
230,Brazil,Supercopa do Brasil Women
231,Brazil,Acreano Women
232,Brazil,Alagoano Women
233,Brazil,Amazonense Women
234,Brazil,Baiano Women
235,Brazil,Brasiliense Women
236,Brazil,Carioca Women
237,Brazil,Capixaba Women
238,Brazil,Catarinense Women
239,Brazil,Cearense Women
240,Brazil,Gaucho Women
241,Brazil,Goiano Women
242,Brazil,Matogrossense Women
243,Brazil,Mineiro Women
244,Brazil,Paraense Women
245,Brazil,Paraibano Women
246,Brazil,Paranaense Women
247,Brazil,Paulista Women
248,Brazil,Pernambucano Women
249,Brazil,Sul-Matogrossense Women
250,Brazil,Copa Paulista Women
251,Brazil,Copa Rio Women
252,Bulgaria,Parva liga
253,Bulgaria,Vtora liga
254,Bulgaria,Third League - South-East
255,Bulgaria,Third League - South-West
256,Bulgaria,Third League - North-East
257,Bulgaria,Third League - North-West
258,Bulgaria,Bulgarian Cup
259,Bulgaria,Super Cup
260,Burkina Faso,Premier League
261,Burundi,Primus League
262,Burundi,Coupe du President
263,Burundi,Super Coupe
264,Cambodia,CPL
265,Cambodia,Super Cup
266,Cameroon,Elite One
267,Cameroon,Elite Two
268,Canada,Canadian Premier League
269,Canada,Championship
270,Canada,CSL
271,Canada,U Sports
272,Cape Verde,Campeonato Nacional
273,Chad,Premiere Division
274,Chile,Primera Division
275,Chile,Primera B
276,Chile,Segunda Division
277,Chile,Chilean Cup
278,Chile,Super Cup
279,Chile,Primera Division Women
280,China,Super League
281,China,Jia League
282,China,Yi League
283,China,FA Cup
284,China,Super Cup
285,China,Super League Women
286,Colombia,Primera A
287,Colombia,Primera B
288,Colombia,Copa Colombia
289,Colombia,Super Cup
290,Colombia,Liga Women
291,Costa Rica,Primera Division
292,Costa Rica,Liga de Ascenso
293,Costa Rica,Copa Costa Rica
294,Costa Rica,Super Cup
295,Costa Rica,Recopa de Costa Rica
296,Croatia,HNL
297,Croatia,Prva NL
298,Croatia,Druga NL
299,Croatia,Croatian Cup
300,Croatia,Super Cup
301,Croatia,1. HNL Women
302,Cuba,Liga Nacional
303,Curaçao,Promé Divishon
304,Cyprus,Cyprus League
305,Cyprus,Division 2
306,Cyprus,Cyprus Cup
307,Cyprus,Super Cup
308,Czech Republic,Chance Liga
309,Czech Republic,ChNL
310,Czech Republic,3. CFL - Group A
311,Czech Republic,3. CFL - Group B
312,Czech Republic,CFL Play Offs
313,Czech Republic,3. MSFL
314,Czech Republic,MOL Cup
315,Czech Republic,4. liga - Group A
316,Czech Republic,4. liga - Group B
317,Czech Republic,4. liga - Group C
